"","ID","Name.in.English","Name.in.French","Name.in.Spanish","Countries","Country.codes.alpha.3","ISO639.3.codes","Degree.of.endangerment","Alternate.names","Name.in.the.language","Number.of.speakers","Sources","Latitude","Longitude","Description.of.the.location","Country","Region","City"
"344",1446,"Kurux (Nepal)","kurux (Népal)","kuruj (Nepal)","Nepal","NPL","kru","Vulnerable","Dhangar; Jhangar; ढाङ्गड; ढाङ्गर; झाङ्गड","",28615,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27,87,"Dhanuṣa, Sirāhā, Saptarī, Sunsarī and Morāṅ districts","NP","0","Dharan"
"345",1170,"Deori","deori","deori","India","IND","der","Definitely endangered","Chutiya, Deuri, Dewri, Drori, Dari","",28000,"",27,94,"Lakhimpur and Sibsagar districts","IN","3","Golaghat"
"346",1279,"Soyaltepec Mazatec","mazatèque de Soyaltepec","mazateco de Soyaltepec","Mexico","MEX","vmp","Vulnerable","en naxijen, Mazateco de Soyaltepec, Northeastern Mazatec","",27524,"Census 2000 and information provided by INALI",18,-96,"Municipalities of San Miguel Soyaltepec and Acatlán de Pérez Figueroa","MX","20","Tuxtepec"
"347",941,"Western Mazahua","mazahua occidental","mazahua occidental","Mexico","MEX","","Definitely endangered","jnatrjo","",27037,"Census 2000 and information provided by INALI",19,-100,"Municipality of Zitácuaro  in the state of Michoacán","MX","15","Chapultepec"
"348",1430,"Sibe","xibe","xibo","China","CHN","sjo","Severely endangered","Xibe, Sibo, Xibo","",27000,"Giovanni Stary: Sibe: an endangered language. — Language death and language maintenance: theoretical, practical and descriptive approaches. Edited by Mark Janse and Sijmen Tol, Current Issues in Linguistic Theory 240, Amsterdam and Philadelphia: John Benjamins, 2003. 81–88.",44,81,"Qapqal Xibe Autonomous County and adjacent regions in Sinkiang (Xinjiang)","CN","13","Yining"
"349",1505,"Isthmus Náhuatl","náhuatl de l'Isthme","nahua del istmo","Mexico","MEX","nhk","Vulnerable","","",26632,"Census 2000, information provided by INALI for percentages of child speakers; Lastra (1986)",18,-95,"Municipalities of Mecayapan,  Pajapan, and others in the state of Veracruz ","MX","30","Tuxtla"
"350",1105,"Sunwar","sunwar","sunwar","Nepal","NPL","suz","Vulnerable","सुनवार; Sunuwar; Sunbar; Sonowar; Sonowal; Koĩc","",26611,"Borchers, Dörte. 2008. Personal communication.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com
",27,86,"Rāmechāp, Okhalḍhuṅgā and Sindhulī districts, Likhu and Khimtī river valleys","IN","34","Jayanagar"
"351",1302,"Mancagne","mancagne","mancaña","Senegal","SEN","knf","Vulnerable","Bola","",26450,"Tucker Childs, Ethnologue, Adjaratou Sall",13,-16,"","SN","12","Ziguinchor"
"352",1576,"Gadaba","gadaba","gadaba","India","IND","gdb, gau","Critically endangered","Ollari; Hallari; Allar; Ollar; Gadba; San Gadba; Sano;  Kondekar; Kondkor Pottangi; Salur","",26262,"",18,83,"Orissa, Koraput Dt.","IN","2","Visakhapatnam"
"353",1513,"Banat Bulgarian","bulgare de Banat","búlgaro del Bánato","Romania, Serbia","ROU, SRB","bul","Definitely endangered","","",25000,"Aleksandr D. Duličenko: Banater Bulgarisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 203–208.",45,21,"Banat region on both sides of the Romanian-Serbian border; also resettled in Bulgaria; an outlying dialect of Bulgarian","RS","2","Vrsac"
"354",1351,"Csángó Hungarian","hongrois csángó","csángó","Romania","ROU","hun","Severely endangered","","",25000,"",47,27,"Bacău, Neamţ and Iaşi counties in the Moldova region, Romania; formerly also a few villages in the Republic of Moldova; an outlying dialect of Hungarian not listed separately by the SIL","RO","4","Bacau"
"355",1215,"Koda","koda","koda","India","IND","cdz","Vulnerable","Kora","",25000,"",22,87,"West Bengal, Barddhaman and Bankura districts","IN","28","Chandra"
"356",1423,"Minhe Monguor","minhe monguor","monguor de Minhe","China","CHN","mjg","Definitely endangered","Mangghuer","",25000,"Keith W. Slater: Mangghuer. — The Mongolic languages. Edited by Juha Janhunen. London and New York: Routledge, 2003. 307–324.",36,103,"Minhe Hui and Tu Autonomous County, at the extreme eastern edge of Qinghai","CN","15","Linxia"
"357",1862,"Miskito (Honduras)","miskito (Honduras)","misquito (Honduras)","Honduras","HND","","Vulnerable","","",25000,"Article by Constenla",15,-85,"Gracias a Dios dept.",NA,NA,NA
"358",396,"Olonetsian","olonetsien","olonetsiano","Finland, Russian Federation","FIN, RUS","olo","Definitely endangered","Livvi","",25000,"Eberhard Winkler: Karelisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 667–672.",61,33,"Olonets County (except the eastern corner), the western parts of Pryazha County and the southwestern part of Kondopoga County of the Republic of Karelia, the Russian Federation; in Finland, Olonetsian is spoken by people evacuated in 1940 and 1944 from former Finnish territories including Salmi and Impilahti counties, currently the eastern parts of Pitkyaranta (Pitkäranta) County and the southern corner of Suoyarvi (Suojärvi) County in the Republic of Karelia","RU","28","Rechnaya Selga"
"359",1006,"Saek","saek","saek","Lao People's Democratic Republic, Thailand","LAO, THA","skb","Definitely endangered","","",25000,"",19,105,"","VN","26","Dong Du"
"360",885,"Sioux","sioux","dacota / siu","United States of America","USA","dak","Vulnerable","Sioux covers several dialects: Santee-Sisston (Dakota), Yankton-Yanttonai, and Teton (Lakota).","",25000,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44.  London: Routledge. ",43,-103,"The Santee-Sisseton (Dakota) dialect is spoken in at least 15  dispersed reservation communities in Minnesota, Manitoba, and Saskatchewan, and in the eastern parts of Nebraska and the Dakotas.  The Yankton-Yanktonai dialect is primarily spoken on the Yankton and Crow Creek Reservations in South Dakota, and on the northern part of the Standing Rock Reservation in North Dakota, with speakers on the Devils Lake and Fort Peck Reservations in North Dakota and on a few reserves in Saskatchewan.  Teton (Lakota) is the dialect of the Cheyenne River, Lower Brule, Pine Ridge, Rosebud, and Sisseton Reservations of South Dakota,  the southern part of the Standing Rock Reservation in South Dakota, and  Wood Mountain Reserve in Saskatchewan.  There are numerous off-reservation Sioux speakers, in Rapid City, Minneapolis, and other cities in the upper Midwest.","US","SD","Pine Ridge"
"361",699,"Tamazight (Beni Iznassen)","tamazight (Beni Iznassen)","tamazight (Beni Iznassen)","Morocco","MAR","rif","Definitely endangered","Berber; Tachelhiyt; Tashelhit; Chelha; Yeznasniyya; Tayeznasniyt; Tmazight nayt Izznassen","",25000,"Estimates based on field investigation.

",35,-2,"North-Eastern  Morocco.  At urban centre of Berkane and surrounding  villages.  The main locations are: Aklim,  Madagh, Aghbal, Tafoughalt, Chouihiyya, Sidi Bouhouriyya, Aghbal, Fezouane. Subdivisions are Ayt Atiq, Ayt Khaled, Ayt Ouriemmech and Ayt Mengouch. 
Though close to Tarifit (Riffi) with characteristics in common,Beni Iznassen TamazighT is not a variety of Tarifit.","MA","23","Oujda"
"362",1061,"Tsakhur","tsakhour","tsajur","Azerbaijan, Russian Federation","AZE, RUS","tkr","Definitely endangered","","",25000,"Б. Б. Талибов: Цахурский язык. — Языки Российской Федерации и соседних государств: энциклопедия III. Москва: Наука, 2005.",42,47,"sixteen villages in Zakatala (Zaqatala) and Kakh (Qax) counties, Azerbaijan; thirteen villages in Rutul County in the Republic of Daghestan, the Russian Federation","RU","17","Kina"
"363",1964,"Warao","warao","warao","Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN","wba","Definitely endangered","","",25000,"Mosonyi and Mosonyi (2000), 'Manual de lenguas indígenas de Venezuela'",9,-61,"The delta of the Orinoco (Amacuro territory) with extensions in Monagas and Sucre. Additional communities in Guyana.",NA,NA,NA
"364",1169,"Majhi","majhi","bote-majhi","Nepal","NPL","bmj","Severely endangered","माझी; Boṭ; Bote-Majhi","",24664,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28,84,"Several districts along the rivers Nāraāyaṇī and Saptagaṇḍakī","NP","",""
"365",1501,"Jone","choni","choni","China","CHN","cda","Definitely endangered","Joni; Choni; Jone Tibetan; Joni Tibetan","",24000,"",35,104,"Jonê County of Gansu Province","CN","15","Kangle"
"366",1037,"Andi","andi","andi","Russian Federation","RUS","ani","Definitely endangered","","",23729,"М. Е. Алексеев: Андийский язык. — Языки Российской Федерации и соседних государств: энциклопедия I. Москва: Наука, 1997.",43,46,"nine villages, including Andi, Muni (Munib), and Kvankhidatl’, in Botlikh County in the Republic of Daghestan","RU","CI","Pervomayskaya"
"367",599,"Guambiano","guambiano","guambiano","Colombia","COL","gum","Definitely endangered","Misag","",23462,"CRIC - Base de Datos Sociolingüística - Análisis preliminar - 2008 
Arango and Sánchez, 'Los pueblos indígenas de Colombia' (2004)
Rodríguez en González, 'Lenguas indígenas de Colombia' (2000)
",3,-76,"Mainly municipality of Silvia; other municipalities: Totoró, Caldono, Jambaló, Morales (department of Cauca). La Plata (department of Huila).","CO","16","�quira"
"368",1164,"Anal","anal","anal","India","IND","anm","Vulnerable","","",23000,"",24,94,"","IN","17","Thanga"
"369",1802,"Hawrami","hawrami","hawrami","Iran (Islamic Republic of), Iraq","IRN, IRQ","bjm, hac, sdb, sdf","Definitely endangered","Hewrami, Howrami, Hawramani, Awromani, Gurani, Gorani","",23000,"",35,46,"Western part of Kordestan province, Iran, also spoken in Iran.","IR","16","Novin"
"370",1203,"Juang","juang","yuango","India","IND","jun","Definitely endangered","","",23000,"",21,86,"Orissa, Keonjhar,  Angul and Dhenkanal districts.","IN","21","Dhenkanal"
"371",1173,"Tiwa","tiwa","tigua","India","IND","lax","Definitely endangered","Lalung","",23000,"",26,93,"Assam, Kamrup, Marigaon districts and Karbi Anglong districts","IN","3","Raha"
"372",1901,"Embera (Panama)","embera (Panama)","embera (Panamá)","Panama","PAN","emp, cmi, cto, sja, bdc, tdc, crf","Vulnerable","Chocó","",22485,"Census 2000",8,-78,"Darién","PA","5","La Plaza"
"373",1306,"Ediamat","ediamat","eyamat","Guinea-Bissau","GNB","eja","Vulnerable","Ejamat","",22025,"Ethnologue, Adjaratou Sall",12,-17,"","SN","12","Kabrousse"
"374",1178,"Mara","mara","chin mara","India","IND","mrh","Definitely endangered","Lakher, Zao, Maram, Mira","",22000,"",24,93,"Mizoram, Chhimtuipui Dt.","IN","31","Aizawl"
"375",1157,"Maring","maring","naga maring","India","IND","nng","Vulnerable","","",22000,"",25,94,"Manipur, Chandel Dt.","IN","17","Imphal"
"376",1386,"Polci cluster","groupe Polci","polci","Nigeria","NGA","plj","Definitely endangered","","",22000,"Roger Blench",10,9,"","NG","49","Jos"
"377",1461,"Sarikoli","sarikoli","sarikoli","China","CHN","srh","Definitely endangered","Sarikuli, Sarykoly, Sariqoli, Sariquli, сариқули","",22000,"A. Elnazarov, personal research",38,75,"Tashkorgan Tajik Autonomous County, Xinjiang Province",NA,NA,NA
"378",63,"Krongo","krongo","crongo","Sudan","SDN","kgo","Definitely endangered","","",21688,"C. Stevenson, Ethnologue",11,30,"",NA,NA,NA
"379",1779,"Ashtiani","ashtiani","astianí","Iran (Islamic Republic of)","IRN","atn","Definitely endangered","Astiani, Ashtiyani","",21000,"",34,51,"Ashtiyan and Tafresh, Markazi Province","IR","28","Azar"
"380",1799,"Khunsari","khunsari","junsarí","Iran (Islamic Republic of)","IRN","kfm","Definitely endangered","","",21000,"",33,52,"Esfahan Pronince, Iran","IR","28","Isfahan"
"381",2300,"Semnani","semnani","semnani","Iran (Islamic Republic of)","IRN","lsa, sgr, smy, sqo","Definitely endangered","Lasgerdi, Sangisari, Sorkhei","",21000,"George van Driem in the Encyclopaedia of World Endangered Languages, ed by Christopher Moseley. 2007, p.283-348",35,53,"Semnan Province, Iran","IR","25","Rahbar"
"382",277,"Plains Cree","cree des plaines","clisteno de las llanuras","Canada","CAN","crk","Vulnerable","","",20933,"1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievals
UNESCO Atlas 2nd edition (Wurm (2001))
Ethnologue: Languages of the World (Gordon, (2005))
http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.html
http://en.wikipedia.org/wiki/Portal:Contents",56,-114,"Spread over 124 communities in Canada","CA","AB","Slave Lake"
"383",1273,"Higher Reservoir Mazatec","mazatèque de la Presa (haut)","mazateco de la presa alto","Mexico","MEX","","Vulnerable","enna","",20665,"Census 2000 and information provided by INALI",18,-97,"Municipalities of San José Tenango and San José Indepandencia in the state of Oaxaca","MX","20","Teotitlan"
"384",1280,"Chilchotla Mazatec","mazatèque de Chilchotla","mazateco de Chilchotla","Mexico","MEX","","Vulnerable"," en naxo tota, en nda xo, Northern Mazatec","",20585,"Census 2000 and information provided by INALI",18,-97,"Municipalities of Santa María Chilchotla and San Mateo Yoloxochitlán, state of Oaxaca","MX","20","Teotitlan"
"385",955,"Zapotec of the Valleys, middle northwest","zapotèque des vallées,  nord-ouest central","zapoteco del valle medio noroccidental","Mexico","MEX","","Definitely endangered","dixsà","",20448,"Contributor:  Thomas C. Smith Stark, Census 2000 and information provided by INALI",17,-97,"Locality of Santa María del Tule, state of Oaxaca","MX","20","Oaxaca"
"386",2443,"Aluo","aluo","laka","China","CHN","yna","Definitely endangered","Laka, Gan Yi","",20000,"Bradley 2007",26,102,"","CN","29","Yuanmou"
"387",978,"Bangni","bangni","bangni","India","IND","","Vulnerable","Bangru, Bengru, Nyishi, Nishi, Nisi","",20000,"",28,93,"Kurung Kumey Dt.","CN","14","Long"
"388",1990,"Bru","bru","bru","Thailand","THA","brv","Definitely endangered","","",20000,"",15,105,"","TH","75","Ubon"
"389",1252,"Cho-ca-nga-ca-kha","chocangacakha","chocangacakha","Bhutan","BTN","cgk","Definitely endangered","Chocangacakha; Maphekha, Rtsamangpa'ikha; Tsagkaglingpa'ikha; Kursmadkha","",20000,"Driem, George van. 1991. Report on the First Linguistic Survey of Bhutan. Thimphu: Royal Government of Bhutan.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com

",27,91,"Monggar and Lhüntsi districts","BT","14","Pemagatsel"
"390",1448,"Crimean Tatar (Dobruja)","tatar de Crimée (Dobroudja)","tártaro crimeano (Dobruja)","Bulgaria, Romania","BGR, ROU","crh, jct","Severely endangered","крымскотатарский (ru)","",20000,"",44,28,"central and southern Dobruja around Biulbiul, Topraisar, Azaplar, Murfatlar, Castelu, Osmancea, Bairamdede, Romania, and adjacent areas in Bulgaria","BG","40","Dobrich"
"391",436,"Dhimal","dhimal","dhimal","Nepal","NPL","dhi","Severely endangered","धिमाल","",20000,"King, John T. 2008. A Grammar of Dhimal. Ph.D. Dissertation. Leiden University.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",27,87,"Jhāpā and Moraṅ districts.","NP","0","Dharan"
"392",1614,"Griko (Salento)","griko (Salento)","griko salentino","Italy","ITA","ell","Severely endangered","","",20000,"",40,18,"the Salento peninsula in Lecce Province in southern Apulia; an outlying dialect of Greek not listed separately by the SIL","IT","13","Zollino"
"393",1878,"Kaiowá Guarani","guarani-kaiowá","guaraní kaiowá","Brazil","BRA","kgk, pta","Vulnerable","Kaiova, Paï-Tavyterã, Tembekuára","",20000,"www.socioambiental.org
Moore, 2008, IBGE databank 
Moore, 2008, Scientific American (Brasil)
",-22,-55,"","BR","11","Gua�u"
"394",327,"Karelian (Karelia)","carélien (Carélie)","carelio (Carelia)","Finland, Russian Federation","FIN, RUS","krl","Definitely endangered","","",20000,"Eberhard Winkler: Karelisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 667–672.",63,33,"Loukhi, Kem’, Kalevala and Muyezerskiy counties, the western parts of Belomorsk, Segezha and Medvezh’yegorsk counties, the southwestern part of Kondopoga County and the Porosozero region of Suoyarvi (Suojärvi) County of the Republic of Karelia, the Russian Federation; in Finland, Karelian is spoken by people evacuated in 1940 and 1944 from former Finnish territories including Suojärvi, Suistamo and Korpiselkä counties, currently the central parts of Suoyarvi (Suojärvi) County in the Republic of Karelia, and in two border villages in Suomussalmi County in Oulu Province","RU","28","Molodaya Gvardiya"
"395",1152,"Khoirao","khoirao","khoirao","India","IND","nki","Vulnerable","Koirao","",20000,"",25,94,"Manipur, Senapati District","IN","17","Imphal"
"396",1185,"Manchad","manchad","lahuli de Chamba","India","IND","lae","Vulnerable"," Manchati, Pattani, Patani, Chamba, Chamba Lahuli, Lahuli","",20000,"",33,78,"Himachal Pradesh, Lahul valley, Pattan, Chamba-Lahul and lower Mayar valleys.",NA,NA,NA
"397",1337,"Mariupolitan Greek","grec de Marioupol","mauropoliano","Ukraine","UKR","ell","Severely endangered","Crimean Greek; Tauro-Romaic","",20000,"",47,38,"originally the south of the Crimea, from where its speakers moved to the shores of the Azovan Sea in the Ukraine in the 1770s, and founded the city of Mariupol’ (Zhdanov) and several villages in what is now Donets’k (Donetsk) Province; an outlying dialect of Greek not listed separately by the SIL","UA","5","Mariupol"
"398",985,"Padam","padam","padam","India","IND","","Vulnerable","Adi","",20000,"",28,95,"Arunachal Pradesh, mostly in East Siang Dt.,; some in Lower Dibang Valley Dt.","IN","3","Tinsukia"
"399",1965,"Pemon (Venezuela)","pemon (République bolivarienne du Venezuela)","pemón (Venezuela)","Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN","aoc","Vulnerable","","",20000,"Mosonyi and Mosonyi (2000), 'Manual de lenguas indígenas de Venezuela'
Queixalós and Renault-Lescure (2000), 'As línguas amazônicas hoje'",5,-62,"The southeastern plains of the state of Bolívar (Venezuela). Adjacent areas of Guyana. ",NA,NA,NA
"400",1995,"Tacenwit","tacenwit","tacenwit","Algeria","DZA","cnu","Vulnerable","Tachenuit, Chenoui, Chenoua, Haqbaylit, Taqbaylit","",20000,"Laoust, Chaker, ",37,2,"Mont Chenoua, Tipaza, Nador, Bou Ismail, Tenes, Cherchell, Hamadia, Gouraya, Damous, Oued Damous, Larhat, Marceau, Sidi Amar, Nador, Tipaza, Sidi Mousa, Ain Tagourirt","DZ","55","Tipaza"
"401",1502,"Tangwang","tangwang","tangwang","China","CHN","","Definitely endangered","","",20000,"Mei W. Lee-Smith: The Tangwang language. — Atlas of languages of intercultural communication in the Pacific, Asia, and the Americas. Edited by Stephen A. Wurm & Peter Mühlhäusler & Darrell T. Tryon. Volume II, 2. Trends in Linguistics, Documentation 13, 2; Berlin: Mouton de Gruyter, 1996. 875–822.",36,103,"the northeastern corner of Dongxiang Autonomous County in Linxia Hui Autonomous Prefecture, Gansu Province","CN","15","Linxia"
"402",2090,"Western Neo-Aramaic","araméen occidental","neo-arameo sirio","Syrian Arab Republic","SYR","amw","Definitely endangered","Ma'lula,  Siryoon, Aroomay
","",20000,"W. Arnold (2008, p.c.).  
W. Arnold, Lehrbuch des Neuwestaramäischen. Semitica Viva: Series Didactica; Band 1, Wiesbaden 1989. 
Recordings of the language can be found in the Semitic Sound Archive of the University of Heidelberg: http://www.semarch.uni-hd.de/index.php4?〈=en",34,37,"3 villages in Syria, in the mountains 50km northeast of Damascus (Ma'luula,  Bax'a, Jubb'adiin)","SY","8","Yabrud"
"403",1438,"Yaghnobi","yaghnobi","yagnobí","Tajikistan","TJK","yai","Definitely endangered","яғноби","",20000,"Studies in Languages of Tajikistan' edited by John M.Clifton, 2005",39,68,"Zafarobod district, adminitrative regions of Hisor and Varzob, Tajikistan","TJ","3","Regar"
"404",2224,"Yaw","yaw","yos","Myanmar","MMR","","Definitely endangered","","",20000,"",22,95,"","MM","10","Monywa"
"405",1405,"Yeyi","yeyi","yeyi","Botswana","BWA","yey","Definitely endangered","Yei","",20000,"Gabriele Sommer, Ethnoloque",-19,23,"In Maun, settlements east and west of the Okavango swamps. ",NA,NA,NA
"406",1680,"Boro","boro","boro","","","bwo","Definitely endangered","Shinasha","",19878,"Census, Zelealem Leyew",10,35,"","ET","47","Asosa"
"407",384,"Sorbian","sorbien","sorbio","Germany","DEU","dsb, hsb","Definitely endangered","Lusatian; Wendish","",19500,"Gunter Spiess: Niedersorbisch; Tadeusz Lewaszkiewicz: Obersorbisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 343–354.",52,14,"Lusatia (Lausitz [Łužica or Łužyca]) region around Cottbus (Chośebuz) and in the Spreewald (Błota) area in Brandenburg (lower Lusatia) and in and around Bautzen (Budyšin) in Saxony (upper Lusatia); two literary standards Lower Sorbian and Upper Sorbian","DE","11","Gol�en"
"408",1187,"Biete","biete","biete","India","IND","biu","Definitely endangered","Baite, Bete, Biate","",19000,"See van Driem Languages of the Himalayas, 2001, p. 589",26,93,"Karbi Anglong Dt.","IN","3","Raha"
"409",1189,"Hrangkhol","hrangkhol","rancol","India","IND","hra","Vulnerable","","",19000,"see van Driem, Languages of the Himalayas, 2001, p. 589",24,92,"Tripura, mostly in Dhalai Dt.","IN","26","Dharmanagar"
"410",1959,"Terena","terêna","tereno","Brazil","BRA","ter","Severely endangered","Terêna, Tereno","",19000,"www.socioambiental.org
Moore, 2008, IBGE databank 
Moore, 2008, Scientific American (Brasil)
",-20,-55,"Brazil, States of Mato Grosso do Sul, Mato Grosso and São Paulo","BR","11","Campo Grande"
"411",1595,"Kati","kati","katí","Pakistan, Afghanistan","PAK, AFG","bsh, xvi","Definitely endangered","Bashgali, kâmk'ata, mumkSt'a viri, Kativiri, Nuristani, Kamkata-viri; Kamviri (dialect)","",18700,"Richard F. Strand , http://users.sedona.net/~strand/
",35,71,"Bashgal valley and Papruk valley, Nuristan province of Afghanistan and Chitral district in NWFP, Pakistan","AF","38","Khost"
"412",1092,"Kulung","kulung","kulungo","Nepal","NPL","kle","Vulnerable","कुलुङ; Khulung; Kholung; Kulu Ring","",18686,"Tolsma, Gerard. 2008. Personal communication.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28,87,"Solukhumbu and Saṅkhuvā Sabhā districts in Nepal.
Kulung Rai that migrated to Sikkim, India, can be mainly found in the West District (Zoom, Chakung), South District (Sanghanath-rockland) and East District (Assam Lingjey), according to the CIIL Sikkim survey.

",NA,NA,NA
"413",617,"Kaingang","kaingang","kaingán","Brazil","BRA","kgp","Definitely endangered","Caingangue, Kanhgág","",18500,"Wilma D’Angelis in UNESCO survey: linguistic vitality and diversity - 2008
www.socioambiental.org
 
",-28,-52,"The group lives in the southern region of Brazil in the states of São Paulo, Paraná, Santa Catarina and Rio Grande do Sul. ","BR","23","Passo Fundo"
"414",1278,"Lowland Mazatec","mazatèque des basses terres","mazateco del este bajo","Mexico","MEX","maj","Vulnerable","ntaxjo, Mazateco de Jalapa de Díaz","",18389,"Census 2000 and information provided by INALI",18,-97,"Municipalities of San Felipe Jalapa de Díaz and San Pedro Teutila, state of Oaxaca","MX","20","Teotitlan"
"415",1797,"Vafsi","vafsi","vafsí","Iran (Islamic Republic of)","IRN","vaf","Definitely endangered","","",18000,"",34,50,"Vafs, Arak District, Markazi Province, Iran","IR","24","Arak"
"416",1310,"Bassari","bassari","basarí","Senegal","SEN","bsc","Vulnerable","","",17910,"Tucker Childs, Ethnologue, Adjaratou Sall",12,-13,"Spoken in Senegal, Guinea and Guinea-Bissau.","GN","18","Koundara"
"417",1307,"Bayot","bayotte","bayot","Senegal","SEN","bda","Vulnerable","","",17150,"Ethnologue, Adjaratou Sall, Tucker Childs",12,-16,"","GW","11","Bissau"
"418",1142,"Pochuri","pochuri","pochuri","India","IND","npo","Vulnerable","Pochury","",17000,"",26,95,"Nagaland, Phek Dt.","IN","20","Zunheboto"
"419",1712,"Tamahaq (Libya)","tamahaq (Jamahiriya arabe libyenne)","tamahaq (Libia)","Libyan Arab Jamahiriya","LBY","thv","Definitely endangered","Tahaggart, Touareg, Tuareg, Kel Ajjer","",17000,"Jean-maire Cortade, Pere de Foucould, Salem Chaker (INALCO)",25,10,"The language is spoken in west libyan oases around Ghat. It is part of the Kel Ajjer group, spoken also accross the border in Algeria, around Djanet.","LY","30","Ghat"
"420",276,"Swampy Cree","swampy cree","clisteno occidental","Canada","CAN","csw","Vulnerable","","",16685,"1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievals
UNESCO Atlas 2nd edition (Wurm (2001))
Ethnologue: Languages of the World (Gordon, (2005))
http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.html
http://en.wikipedia.org/wiki/Portal:Contents",54,-98,"Spread over 39 communities in Canada","CA","MB","Norway House"
"421",1583,"Koraga","koraga","koraga","India","IND","kfd","Critically endangered","Koragar(a); Korangi;  Korra; Mu:du
","",16665,"",12,76,"Karnataka (South), Kerala and Tamil Nadu","IN","19","Hunsur"
"422",1684,"Oyda","oyda","oyda","Ethiopia","ETH","oyd","Vulnerable","","",16597,"Census, Alemayehu Abebe",6,37,"","ET","54","Jinka"
"423",1560,"Pangvali","pangvali","paharí pangwalí","India","IND","pgg","Critically endangered","Pangwali; Pangi; Pangwali- Pahari","",16285,"",33,77,"Himachal Pradesh","IN","11","Tandi"
"424",654,"Shipibo-Conibo","shipibo-conibo","shipibo-conibo","Peru","PER","shp","Definitely endangered","","",16085,"Pozzi-Escot (1998), 'El multilingüismo en el Perú'",-8,-75,"Dptos. Loreto, Ucayali, Huánuco y Madre de  Dios. Distrito de  Yarinacocha   como espacio central.","PE","25","San Isidro"
"425",109,"Amba","amba","amba","Uganda","UGA","rwm","Vulnerable","","",16000,"Ethnologue",1,30,"",NA,NA,NA
